coordinate_id,market_id,city,state,surface_group,geometry_id,point_id,distance_miles,latitude,longitude,country_boundary_status,water_eligibility_status,collection_eligibility,matched_mtfcc,provisional_risk,classifier_version
MKT001_MAPORG_NE4,MKT001,Los Angeles,CA,maps_organic,GEOGRID13E_V1,NE4,4.0,34.0948065,-118.1935739,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_SE4,MKT001,Los Angeles,CA,maps_organic,GEOGRID13E_V1,SE4,4.0,34.0127334,-118.1936214,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_SW4,MKT001,Los Angeles,CA,maps_organic,GEOGRID13E_V1,SW4,4.0,34.0127334,-118.2921786,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_NW4,MKT001,Los Angeles,CA,maps_organic,GEOGRID13E_V1,NW4,4.0,34.0948065,-118.2922261,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT002_MAPORG_NE4,MKT002,San Diego,CA,maps_organic,GEOGRID13E_V1,NE4,4.0,32.7580159,-117.1142342,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT002_MAPORG_SE4,MKT002,San Diego,CA,maps_organic,GEOGRID13E_V1,SE4,4.0,32.6759251,-117.1142787,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT002_MAPORG_SW4,MKT002,San Diego,CA,maps_organic,GEOGRID13E_V1,SW4,4.0,32.6759251,-117.2113413,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2053,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT002_MAPORG_NW4,MKT002,San Diego,CA,maps_organic,GEOGRID13E_V1,NW4,4.0,32.7580159,-117.2113858,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT003_MAPORG_NE4,MKT003,San Francisco,CA,maps_organic,GEOGRID13E_V1,NE4,4.0,37.8202546,-122.367483,in_country,eligible_land,ELIGIBLE,,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT003_MAPORG_SE4,MKT003,San Francisco,CA,maps_organic,GEOGRID13E_V1,SE4,4.0,37.7382325,-122.3675401,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT003_MAPORG_SW4,MKT003,San Francisco,CA,maps_organic,GEOGRID13E_V1,SW4,4.0,37.7382325,-122.4708239,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT003_MAPORG_NW4,MKT003,San Francisco,CA,maps_organic,GEOGRID13E_V1,NW4,4.0,37.8202546,-122.470881,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2051,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT004_MAPORG_NE4,MKT004,Sacramento,CA,maps_organic,GEOGRID13E_V1,NE4,4.0,38.6230776,-121.4411687,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT004_MAPORG_SE4,MKT004,Sacramento,CA,maps_organic,GEOGRID13E_V1,SE4,4.0,38.5410668,-121.4412281,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT004_MAPORG_SW4,MKT004,Sacramento,CA,maps_organic,GEOGRID13E_V1,SW4,4.0,38.5410668,-121.5456499,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT004_MAPORG_NW4,MKT004,Sacramento,CA,maps_organic,GEOGRID13E_V1,NW4,4.0,38.6230776,-121.5457093,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT005_MAPORG_NE4,MKT005,Fresno,CA,maps_organic,GEOGRID13E_V1,NE4,4.0,36.7806972,-119.7335177,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT005_MAPORG_SE4,MKT005,Fresno,CA,maps_organic,GEOGRID13E_V1,SE4,4.0,36.6986607,-119.7335719,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT005_MAPORG_SW4,MKT005,Fresno,CA,maps_organic,GEOGRID13E_V1,SW4,4.0,36.6986607,-119.8354481,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT005_MAPORG_NW4,MKT005,Fresno,CA,maps_organic,GEOGRID13E_V1,NW4,4.0,36.7806972,-119.8355023,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT006_MAPORG_NE4,MKT006,Bakersfield,CA,maps_organic,GEOGRID13E_V1,NE4,4.0,35.4137971,-118.9693233,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT006_MAPORG_SE4,MKT006,Bakersfield,CA,maps_organic,GEOGRID13E_V1,SE4,4.0,35.3317418,-118.969374,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT006_MAPORG_SW4,MKT006,Bakersfield,CA,maps_organic,GEOGRID13E_V1,SW4,4.0,35.3317418,-119.069506,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT006_MAPORG_NW4,MKT006,Bakersfield,CA,maps_organic,GEOGRID13E_V1,NW4,4.0,35.4137971,-119.0695567,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT007_MAPORG_NE4,MKT007,Portland,OR,maps_organic,GEOGRID13E_V1,NE4,4.0,45.5559549,-122.6208124,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT007_MAPORG_SE4,MKT007,Portland,OR,maps_organic,GEOGRID13E_V1,SE4,4.0,45.4740431,-122.6208969,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT007_MAPORG_SW4,MKT007,Portland,OR,maps_organic,GEOGRID13E_V1,SW4,4.0,45.4740431,-122.7373231,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT007_MAPORG_NW4,MKT007,Portland,OR,maps_organic,GEOGRID13E_V1,NW4,4.0,45.5559549,-122.7374076,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT008_MAPORG_NE4,MKT008,Vancouver,WA,maps_organic,GEOGRID13E_V1,NE4,4.0,45.666595,-122.6170875,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT008_MAPORG_SE4,MKT008,Vancouver,WA,maps_organic,GEOGRID13E_V1,SE4,4.0,45.5846849,-122.6171725,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT008_MAPORG_SW4,MKT008,Vancouver,WA,maps_organic,GEOGRID13E_V1,SW4,4.0,45.5846849,-122.7338271,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT008_MAPORG_NW4,MKT008,Vancouver,WA,maps_organic,GEOGRID13E_V1,NW4,4.0,45.666595,-122.7339121,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT009_MAPORG_NE4,MKT009,Seattle,WA,maps_organic,GEOGRID13E_V1,NE4,4.0,47.6448027,-122.2694188,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2030,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT009_MAPORG_SE4,MKT009,Seattle,WA,maps_organic,GEOGRID13E_V1,SE4,4.0,47.562921,-122.2695133,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT009_MAPORG_SW4,MKT009,Seattle,WA,maps_organic,GEOGRID13E_V1,SW4,4.0,47.562921,-122.3904887,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT009_MAPORG_NW4,MKT009,Seattle,WA,maps_organic,GEOGRID13E_V1,NW4,4.0,47.6448027,-122.3905832,in_country,eligible_land,ELIGIBLE,,HIGH,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT010_MAPORG_NE4,MKT010,Spokane,WA,maps_organic,GEOGRID13E_V1,NE4,4.0,47.7007343,-117.3618831,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT010_MAPORG_SE4,MKT010,Spokane,WA,maps_organic,GEOGRID13E_V1,SE4,4.0,47.6188534,-117.3619778,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT010_MAPORG_SW4,MKT010,Spokane,WA,maps_organic,GEOGRID13E_V1,SW4,4.0,47.6188534,-117.4830822,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT010_MAPORG_NW4,MKT010,Spokane,WA,maps_organic,GEOGRID13E_V1,NW4,4.0,47.7007343,-117.4831769,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT011_MAPORG_NE4,MKT011,Phoenix,AZ,maps_organic,GEOGRID13E_V1,NE4,4.0,33.4898208,-112.0281196,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT011_MAPORG_SE4,MKT011,Phoenix,AZ,maps_organic,GEOGRID13E_V1,SE4,4.0,33.4077396,-112.0281658,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT011_MAPORG_SW4,MKT011,Phoenix,AZ,maps_organic,GEOGRID13E_V1,SW4,4.0,33.4077396,-112.1260342,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
