coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT001_MAPORG_NE4,MKT001,Los Angeles,CA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,34.0948065,-118.1935739,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_SE4,MKT001,Los Angeles,CA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,34.0127334,-118.1936214,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_SW4,MKT001,Los Angeles,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,34.0127334,-118.2921786,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_NW4,MKT001,Los Angeles,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,34.0948065,-118.2922261,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT002_MAPORG_NE4,MKT002,San Diego,CA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,32.7580159,-117.1142342,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT002_MAPORG_SE4,MKT002,San Diego,CA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,32.6759251,-117.1142787,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT002_MAPORG_SW4,MKT002,San Diego,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,32.6759251,-117.2113413,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
MKT002_MAPORG_NW4,MKT002,San Diego,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,32.7580159,-117.2113858,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT003_MAPORG_NE4,MKT003,San Francisco,CA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,37.8202546,-122.367483,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
MKT003_MAPORG_SE4,MKT003,San Francisco,CA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,37.7382325,-122.3675401,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT003_MAPORG_SW4,MKT003,San Francisco,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,37.7382325,-122.4708239,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT003_MAPORG_NW4,MKT003,San Francisco,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,37.8202546,-122.470881,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_NE4,MKT004,Sacramento,CA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,38.6230776,-121.4411687,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_SE4,MKT004,Sacramento,CA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,38.5410668,-121.4412281,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT004_MAPORG_SW4,MKT004,Sacramento,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,38.5410668,-121.5456499,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT004_MAPORG_NW4,MKT004,Sacramento,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,38.6230776,-121.5457093,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_NE4,MKT005,Fresno,CA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,36.7806972,-119.7335177,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_SE4,MKT005,Fresno,CA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,36.6986607,-119.7335719,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_SW4,MKT005,Fresno,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,36.6986607,-119.8354481,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT005_MAPORG_NW4,MKT005,Fresno,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,36.7806972,-119.8355023,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NE4,MKT006,Bakersfield,CA,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,35.4137971,-118.9693233,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_SE4,MKT006,Bakersfield,CA,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,35.3317418,-118.969374,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_SW4,MKT006,Bakersfield,CA,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,35.3317418,-119.069506,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NW4,MKT006,Bakersfield,CA,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,35.4137971,-119.0695567,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
