coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT001_MAPORG_NE2,MKT001,Los Angeles,CA,GEOGRID21_V1,NE2,NE 2 mi,45.0,2,34.0742958,-118.2182429,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_SE2,MKT001,Los Angeles,CA,GEOGRID21_V1,SE2,SE 2 mi,135.0,2,34.0332592,-118.2182548,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_SW2,MKT001,Los Angeles,CA,GEOGRID21_V1,SW2,SW 2 mi,225.0,2,34.0332592,-118.2675452,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_NW2,MKT001,Los Angeles,CA,GEOGRID21_V1,NW2,NW 2 mi,315.0,2,34.0742958,-118.2675571,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_NE4,MKT001,Los Angeles,CA,GEOGRID21_V1,NE4,NE 4 mi,45.0,4,34.0948065,-118.1935739,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_SE4,MKT001,Los Angeles,CA,GEOGRID21_V1,SE4,SE 4 mi,135.0,4,34.0127334,-118.1936214,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_SW4,MKT001,Los Angeles,CA,GEOGRID21_V1,SW4,SW 4 mi,225.0,4,34.0127334,-118.2921786,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT001_MAPORG_NW4,MKT001,Los Angeles,CA,GEOGRID21_V1,NW4,NW 4 mi,315.0,4,34.0948065,-118.2922261,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT002_MAPORG_NE2,MKT002,San Diego,CA,GEOGRID21_V1,NE2,NE 2 mi,45.0,2,32.7375003,-117.1385277,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT002_MAPORG_SE2,MKT002,San Diego,CA,GEOGRID21_V1,SE2,SE 2 mi,135.0,2,32.6964549,-117.1385388,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
