coordinate_id,market_id,city,state,surface_group,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,full_geometry_member,nested9_candidate_member,incremental4_member,water_eligibility_status,collection_eligibility,center_method_version,coordinate_method,precision_decimal_places,methodology_version,country_boundary_status,matched_feature_count,matched_mtfccs,matched_names,matched_hydroids,matched_water_source_files,classifier_version
MKT001_MAPORG_C,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,C,center,,0,34.05378,-118.2429,True,True,False,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_N1,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,N1,N 1 mi,0,1,34.0682886,-118.2429,True,True,False,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_E1,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,E1,E 1 mi,90,1,34.0537788,-118.225469,True,True,False,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_S1,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,S1,S 1 mi,180,1,34.0392714,-118.2429,True,True,False,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_W1,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,W1,W 1 mi,270,1,34.0537788,-118.260331,True,True,False,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_N3,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,N3,N 3 mi,0,3,34.0973057,-118.2429,True,False,True,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_E3,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,E3,E 3 mi,90,3,34.0537689,-118.190607,True,False,True,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_S3,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,S3,S 3 mi,180,3,34.010254,-118.2429,True,False,True,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_W3,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,W3,W 3 mi,270,3,34.0537689,-118.295193,True,False,True,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT001_MAPORG_N5,MKT001,Los Angeles,CA,maps_organic,MAPORG13_V1,N5,N 5 mi,0,5,34.1263226,-118.2429,True,True,False,eligible_land,ELIGIBLE,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,1.0,in_country,0,,,,,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
